"scenario","type","year","energy"
"iea6","ship.freight.international.fuel","2045",5014.2
"iea6","ship.freight.international.fuel","2050",5000.5
"iea6","ship.freight.international.H2","2011",0
"iea6","ship.freight.international.H2","2015",0
"iea6","ship.freight.international.H2","2020",0
"iea6","ship.freight.international.H2","2025",0
"iea6","ship.freight.international.H2","2030",0
"iea6","ship.freight.international.H2","2035",0
"iea6","ship.freight.international.H2","2040",0
"iea6","ship.freight.international.H2","2045",0
"iea6","ship.freight.international.H2","2050",0
"iea4","heavy.truck.domestic.ICE.liquid","2011",3986
"iea4","heavy.truck.domestic.ICE.liquid","2015",4483.9
"iea4","heavy.truck.domestic.ICE.liquid","2020",5353.4
"iea4","heavy.truck.domestic.ICE.liquid","2025",6014
"iea4","heavy.truck.domestic.ICE.liquid","2030",6352.4
"iea4","heavy.truck.domestic.ICE.liquid","2035",6462.3
"iea4","heavy.truck.domestic.ICE.liquid","2040",6409.1
"iea4","heavy.truck.domestic.ICE.liquid","2045",6242.6
"iea4","heavy.truck.domestic.ICE.liquid","2050",6046.3
"iea4","heavy.truck.domestic.ICE.gas","2011",0
"iea4","heavy.truck.domestic.ICE.gas","2015",47.3
"iea4","heavy.truck.domestic.ICE.gas","2020",93
"iea4","heavy.truck.domestic.ICE.gas","2025",146.5
"iea4","heavy.truck.domestic.ICE.gas","2030",200.4
"iea4","heavy.truck.domestic.ICE.gas","2035",251.6
"iea4","heavy.truck.domestic.ICE.gas","2040",298.1
"iea4","heavy.truck.domestic.ICE.gas","2045",339.1
"iea4","heavy.truck.domestic.ICE.gas","2050",377
"iea4","heavy.truck.domestic.PH","2011",0
"iea4","heavy.truck.domestic.PH","2015",42.3
"iea4","heavy.truck.domestic.PH","2020",83.1
"iea4","heavy.truck.domestic.PH","2025",130.9
"iea4","heavy.truck.domestic.PH","2030",179.1
"iea4","heavy.truck.domestic.PH","2035",224.8
"iea4","heavy.truck.domestic.PH","2040",266.4
"iea4","heavy.truck.domestic.PH","2045",303.1
"iea4","heavy.truck.domestic.PH","2050",336.9
"iea4","heavy.truck.domestic.EV","2011",0
"iea4","heavy.truck.domestic.EV","2015",5.8
"iea4","heavy.truck.domestic.EV","2020",7.2
"iea4","heavy.truck.domestic.EV","2025",8.4
"iea4","heavy.truck.domestic.EV","2030",9.3
"iea4","heavy.truck.domestic.EV","2035",10
"iea4","heavy.truck.domestic.EV","2040",10.5
"iea4","heavy.truck.domestic.EV","2045",10.8
"iea4","heavy.truck.domestic.EV","2050",11.1
"iea4","heavy.truck.domestic.H2","2011",0
"iea4","heavy.truck.domestic.H2","2015",20.5
"iea4","heavy.truck.domestic.H2","2020",25.4
"iea4","heavy.truck.domestic.H2","2025",29.7
"iea4","heavy.truck.domestic.H2","2030",31.8
"iea4","heavy.truck.domestic.H2","2035",32.9
"iea4","heavy.truck.domestic.H2","2040",33.9
"iea4","heavy.truck.domestic.H2","2045",34.5
"iea4","heavy.truck.domestic.H2","2050",34.9
"iea4","train.freight.domestic.fuel","2011",189
"iea4","train.freight.domestic.fuel","2015",205.3
"iea4","train.freight.domestic.fuel","2020",244.9
"iea4","train.freight.domestic.fuel","2025",275
"iea4","train.freight.domestic.fuel","2030",290.5
"iea4","train.freight.domestic.fuel","2035",295.8
"iea4","train.freight.domestic.fuel","2040",293.7
"iea4","train.freight.domestic.fuel","2045",286.7
"iea4","train.freight.domestic.fuel","2050",278.4
"iea4","train.freight.domestic.elec","2011",295.6
"iea4","train.freight.domestic.elec","2015",333.9
"iea4","train.freight.domestic.elec","2020",396
"iea4","train.freight.domestic.elec","2025",442.2
"iea4","train.freight.domestic.elec","2030",464.6
"iea4","train.freight.domestic.elec","2035",470.4
"iea4","train.freight.domestic.elec","2040",464.6
"iea4","train.freight.domestic.elec","2045",450.9
"iea4","train.freight.domestic.elec","2050",435.4
"iea4","ship.freight.domestic.fuel","2011",110.4
"iea4","ship.freight.domestic.fuel","2015",117.3
"iea4","ship.freight.domestic.fuel","2020",135.3
"iea4","ship.freight.domestic.fuel","2025",146.6
"iea4","ship.freight.domestic.fuel","2030",149.2
"iea4","ship.freight.domestic.fuel","2035",146.1
"iea4","ship.freight.domestic.fuel","2040",139.1
"iea4","ship.freight.domestic.fuel","2045",129.9
"iea4","ship.freight.domestic.fuel","2050",120.3
"iea4","ship.freight.domestic.H2","2011",0
"iea4","ship.freight.domestic.H2","2015",2.5
"iea4","ship.freight.domestic.H2","2020",2.8
"iea4","ship.freight.domestic.H2","2025",3
"iea4","ship.freight.domestic.H2","2030",3.1
"iea4","ship.freight.domestic.H2","2035",3
