"scenario","key","measure","type","year","value"
"IEA4","cool","demand_TWh","cooling.FOC.residential","2035",10197.98
"IEA4","cool","demand_TWh","cooling.FOC.residential","2040",12924.75
"IEA4","cool","demand_TWh","cooling.FOC.residential","2045",16058.05
"IEA4","cool","demand_TWh","cooling.FOC.residential","2050",18891.06
"IEA2","cool","efficiency","cooling.FOC.non.residential","2011",3.43
"IEA2","cool","efficiency","cooling.FOC.non.residential","2015",3.68
"IEA2","cool","efficiency","cooling.FOC.non.residential","2020",3.98
"IEA2","cool","efficiency","cooling.FOC.non.residential","2025",4.28
"IEA2","cool","efficiency","cooling.FOC.non.residential","2030",4.53
"IEA2","cool","efficiency","cooling.FOC.non.residential","2035",4.76
"IEA2","cool","efficiency","cooling.FOC.non.residential","2040",4.97
"IEA2","cool","efficiency","cooling.FOC.non.residential","2045",5.18
"IEA2","cool","efficiency","cooling.FOC.non.residential","2050",5.34
"IEA2","cool","efficiency","cooling.FOC.residential","2011",3.67
"IEA2","cool","efficiency","cooling.FOC.residential","2015",3.89
"IEA2","cool","efficiency","cooling.FOC.residential","2020",4.11
"IEA2","cool","efficiency","cooling.FOC.residential","2025",4.28
"IEA2","cool","efficiency","cooling.FOC.residential","2030",4.4
"IEA2","cool","efficiency","cooling.FOC.residential","2035",4.53
"IEA2","cool","efficiency","cooling.FOC.residential","2040",4.65
"IEA2","cool","efficiency","cooling.FOC.residential","2045",4.77
"IEA2","cool","efficiency","cooling.FOC.residential","2050",4.88
"IEA2","cool","energy_demand_TWh","cooling.FOC.non.residential","2011",919.32
"IEA2","cool","energy_demand_TWh","cooling.FOC.non.residential","2015",1036.67
"IEA2","cool","energy_demand_TWh","cooling.FOC.non.residential","2020",1173.59
"IEA2","cool","energy_demand_TWh","cooling.FOC.non.residential","2025",1349.63
"IEA2","cool","energy_demand_TWh","cooling.FOC.non.residential","2030",1564.79
"IEA2","cool","energy_demand_TWh","cooling.FOC.non.residential","2035",1740.83
"IEA2","cool","energy_demand_TWh","cooling.FOC.non.residential","2040",1975.55
"IEA2","cool","energy_demand_TWh","cooling.FOC.non.residential","2045",2151.59
"IEA2","cool","energy_demand_TWh","cooling.FOC.non.residential","2050",2308.07
"IEA2","cool","energy_demand_TWh","cooling.FOC.residential","2011",684.6
"IEA2","cool","energy_demand_TWh","cooling.FOC.residential","2015",841.08
"IEA2","cool","energy_demand_TWh","cooling.FOC.residential","2020",1036.67
"IEA2","cool","energy_demand_TWh","cooling.FOC.residential","2025",1349.63
"IEA2","cool","energy_demand_TWh","cooling.FOC.residential","2030",1721.27
"IEA2","cool","energy_demand_TWh","cooling.FOC.residential","2035",2249.39
"IEA2","cool","energy_demand_TWh","cooling.FOC.residential","2040",2777.51
"IEA2","cool","energy_demand_TWh","cooling.FOC.residential","2045",3364.3
"IEA2","cool","energy_demand_TWh","cooling.FOC.residential","2050",3872.86
"IEA2","cool","demand_TWh","cooling.FOC.non.residential","2011",3149.97
"IEA2","cool","demand_TWh","cooling.FOC.non.residential","2015",3815.79
"IEA2","cool","demand_TWh","cooling.FOC.non.residential","2020",4670.96
"IEA2","cool","demand_TWh","cooling.FOC.non.residential","2025",5775.49
"IEA2","cool","demand_TWh","cooling.FOC.non.residential","2030",7094.24
"IEA2","cool","demand_TWh","cooling.FOC.non.residential","2035",8283.06
"IEA2","cool","demand_TWh","cooling.FOC.non.residential","2040",9813.71
"IEA2","cool","demand_TWh","cooling.FOC.non.residential","2045",11138.9
