"scenario","type","year","occupancy","passenger.km","vehicle.km","TWh.vehicle.km","vehicle.km.vehicle","vehicles"
"iea2","motorbike.passenger.urban.elec","2025",1.11,1.43e+12,1.28e+12,9.44e-11,9770,1.31e+08
"iea2","motorbike.passenger.urban.elec","2030",1.12,2.26e+12,2.02e+12,9.2e-11,9660,2.09e+08
"iea2","motorbike.passenger.urban.elec","2035",1.13,3.26e+12,2.9e+12,8.99e-11,9540,3.04e+08
"iea2","motorbike.passenger.urban.elec","2040",1.13,4.45e+12,3.93e+12,8.79e-11,9430,4.17e+08
"iea2","motorbike.passenger.urban.elec","2045",1.14,5.81e+12,5.11e+12,8.6e-11,9310,5.48e+08
"iea2","motorbike.passenger.urban.elec","2050",1.14,7.36e+12,6.43e+12,8.51e-11,9200,6.99e+08
"iea2","car.passenger.urban.ICE.liquid","2011",1.6,1.27e+13,7.91e+12,7.63e-10,15000,5.27e+08
"iea2","car.passenger.urban.ICE.liquid","2015",1.6,1.51e+13,9.44e+12,7.07e-10,15000,6.29e+08
"iea2","car.passenger.urban.ICE.liquid","2020",1.59,1.7e+13,1.07e+13,6.49e-10,14800,7.19e+08
"iea2","car.passenger.urban.ICE.liquid","2025",1.59,1.84e+13,1.16e+13,5.94e-10,14700,7.91e+08
"iea2","car.passenger.urban.ICE.liquid","2030",1.58,1.96e+13,1.24e+13,5.45e-10,14500,8.56e+08
"iea2","car.passenger.urban.ICE.liquid","2035",1.57,2.05e+13,1.3e+13,5.02e-10,14300,9.09e+08
"iea2","car.passenger.urban.ICE.liquid","2040",1.57,2.11e+13,1.35e+13,4.63e-10,14100,9.55e+08
"iea2","car.passenger.urban.ICE.liquid","2045",1.56,2.17e+13,1.39e+13,4.28e-10,14000,9.94e+08
"iea2","car.passenger.urban.ICE.liquid","2050",1.55,2.2e+13,1.42e+13,3.97e-10,13800,1.03e+09
"iea2","car.passenger.urban.ICE.gas","2011",1.6,1.23e+11,7.68e+10,7.63e-10,15000,5120000
"iea2","car.passenger.urban.ICE.gas","2015",1.6,1.56e+11,9.73e+10,7.07e-10,15000,6490000
"iea2","car.passenger.urban.ICE.gas","2020",1.59,2.26e+11,1.42e+11,6.49e-10,14800,9560000
"iea2","car.passenger.urban.ICE.gas","2025",1.59,3.03e+11,1.91e+11,5.94e-10,14700,1.3e+07
"iea2","car.passenger.urban.ICE.gas","2030",1.58,3.87e+11,2.45e+11,5.45e-10,14500,16900000
"iea2","car.passenger.urban.ICE.gas","2035",1.57,4.76e+11,3.03e+11,5.02e-10,14300,21200000
"iea2","car.passenger.urban.ICE.gas","2040",1.57,5.71e+11,3.64e+11,4.63e-10,14100,25800000
