Baseline,Mitigation,Baseline 2050 GHG Emissions,Mitigation 2050 GHG Emissions,Difference in 2050 GHG Emissions
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_1400f,55.23442166,44.24687515,10.98754651
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_1600,55.23442166,43.58833853,11.64608313
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_1600f,55.23442166,44.81101323,10.42340843
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_1800,55.23442166,47.05751281,8.176908851
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_1800f,55.23442166,48.25234111,6.982080553
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_2000,55.23442166,49.32128914,5.913132515
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_2000f,55.23442166,50.1570442,5.077377464
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_2500,55.23442166,50.85743524,4.376986423
COFFEE 1.1|EN_NPi2100,COFFEE 1.1|EN_NPi2020_2500f,55.23442166,50.85743524,4.376986423
C-ROADS-5.005|Reference,C-ROADS-5.005|Ratchet-1.5-allCDR,89.32333593,11.62707029,77.69626564
C-ROADS-5.005|Reference,C-ROADS-5.005|Ratchet-1.5-limCDR,89.32333593,8.356960498,80.96637543
C-ROADS-5.005|Reference,C-ROADS-5.005|Ratchet-1.5-limCDR-noOS,89.32333593,-3.202471636,92.52580756
C-ROADS-5.005|Reference,C-ROADS-5.005|Ratchet-1.5-noCDR,89.32333593,4.350990933,84.972345
C-ROADS-5.005|Reference,C-ROADS-5.005|Ratchet-1.5-noCDR-noOS,89.32333593,3.031653821,86.29168211
EPPA 6|ParisFlat,EPPA 6|2CNow_Gradual,53.81570437,31.31980333,22.49590103
EPPA 6|ParisFlat,EPPA 6|Paris1.5C_OptTax,53.81570437,17.38506122,36.43064315
EPPA 6|ParisFlat,EPPA 6|Paris2C_Gradual,53.81570437,33.21536156,20.60034281
EPPA 6|ParisFlat,EPPA 6|Paris2C_OptTax,53.81570437,31.10551445,22.71018991
GCAM 5.3|NGFS2_Current Policies,"GCAM 5.2|NGFS1_Immediate 2C with CDR (Orderly, Rep)",63.18016546,21.17498625,42.00517921
GCAM 5.3|NGFS2_Nationally Determined Contributions (NDCs),GCAM 5.3|NGFS2_Below 2°C,44.80277006,18.88232448,25.92044557
GCAM 5.3|NGFS2_Nationally Determined Contributions (NDCs),GCAM 5.3|NGFS2_Delayed Transition,44.80277006,17.53261832,27.27015174
GCAM 5.3|NGFS2_Nationally Determined Contributions (NDCs),GCAM 5.3|NGFS2_Divergent Net Zero Policies,44.80277006,1.348820404,43.45394965
GCAM 5.3|NGFS2_Nationally Determined Contributions (NDCs),GCAM 5.3|NGFS2_Net-Zero 2050,44.80277006,7.288539334,37.51423073
GCAM 5.3|R_MAC_99_n0,GCAM 5.3|R_MAC_30_n0,39.76460999,12.9858125,26.77879749
GCAM 5.3|R_MAC_99_n0,GCAM 5.3|R_MAC_35_n0,39.76460999,12.98218918,26.78242081
GCAM 5.3|R_MAC_99_n8,GCAM 5.3|R_MAC_35_n8,36.32126911,4.141283608,32.1799855
GCAM 5.3|R_MAC_99_n0,GCAM 5.3|R_MAC_40_n0,39.76460999,12.95979953,26.80481046
GCAM 5.3|R_MAC_99_n8,GCAM 5.3|R_MAC_40_n8,36.32126911,4.131865009,32.1894041
GCAM 5.3|R_MAC_99_n0,GCAM 5.3|R_MAC_45_n0,39.76460999,12.95943469,26.80517531
GCAM 5.3|R_MAC_99_n8,GCAM 5.3|R_MAC_45_n8,36.32126911,4.141913663,32.17935544
GCAM 5.3|R_MAC_99_n0,GCAM 5.3|R_MAC_50_n0,39.76460999,12.9364817,26.8281283
GCAM 5.3|R_MAC_99_n8,GCAM 5.3|R_MAC_50_n8,36.32126911,4.149310709,32.1719584
GCAM 5.3|R_MAC_99_n0,GCAM 5.3|R_MAC_55_n0,39.76460999,18.92620397,20.83840602
GCAM 5.3|R_MAC_99_n8,GCAM 5.3|R_MAC_55_n8,36.32126911,11.46265054,24.85861857
GCAM 5.3|R_MAC_99_n0,GCAM 5.3|R_MAC_60_n0,39.76460999,23.3576215,16.4069885
GCAM 5.3|R_MAC_99_n8,GCAM 5.3|R_MAC_60_n8,36.32126911,16.89011443,19.43115467
GCAM 5.3|R_BAU,GCAM 5.3|R_MAC_65_n0,78.30231201,26.74187002,51.56044198
GCAM 5.3|R_BAU,GCAM 5.3|R_MAC_65_n8,78.30231201,21.08022186,57.22209015
GCAM 5.3|R_BAU,GCAM 5.3|R_MAC_70_n0,78.30231201,29.48959504,48.81271697
GCAM 5.3|R_BAU,GCAM 5.3|R_MAC_70_n8,78.30231201,24.40185139,53.90046061
GCAM 5.3|R_BAU,GCAM 5.3|R_MAC_75_n0,78.30231201,31.87036682,46.43194519
GCAM 5.3|R_BAU,GCAM 5.3|R_MAC_75_n8,78.30231201,27.08784901,51.214463
GCAM 5.3|R_BAU,GCAM 5.3|R_MAC_80_n0,78.30231201,34.10858422,44.19372778
GCAM 5.3|R_BAU,GCAM 5.3|R_MAC_80_n8,78.30231201,29.34113508,48.96117693
GCAM 5.3|R_BAU,GCAM 5.3|R_MAC_85_n0,78.30231201,35.91582123,42.38649077
GCAM 5.3|R_BAU,GCAM 5.3|R_MAC_85_n8,78.30231201,31.27225065,47.03006136
GCAM 5.3|R_BAU,GCAM 5.3|R_MAC_90_n0,78.30231201,37.41918822,40.88312378
GCAM 5.3|R_BAU,GCAM 5.3|R_MAC_90_n8,78.30231201,33.2629938,45.0393182
GCAM 5.3|R_BAU,GCAM 5.3|R_MAC_95_n0,78.30231201,38.67699717,39.62531483
GCAM 5.3|R_BAU,GCAM 5.3|R_MAC_95_n8,78.30231201,34.90926492,43.39304709
GCAM 5.3|R_BAU,GCAM 5.3|R_MAC_99_n0,78.30231201,39.76460999,38.53770201
GCAM 5.3|R_BAU,GCAM 5.3|R_MAC_99_n8,78.30231201,36.32126911,41.9810429
GCAM 5.3|R_BAU,GCAM 5.3|SSP_SSP2,78.30231201,17.10643475,61.19587725
GCAM 5.3|R_BAU,GCAM 5.3|SSP_SSP3,78.30231201,16.51099385,61.79131815
GCAM 5.3|R_BAU,GCAM 5.3|SSP_SSP4,78.30231201,16.55684016,61.74547184
GCAM 5.3|R_BAU,GCAM 5.3|SSP_SSP5,78.30231201,18.63490079,59.66741122
GCAM-PR 5.3|PR_baseline,GCAM-PR 5.3|PR_CP_PriceOnly,70.85038802,58.844878,12.00551002
GCAM-PR 5.3|PR_baseline,GCAM-PR 5.3|PR_NDC_PriceOnly,70.85038802,50.88041925,19.96996877
GEM-E3_V2021|EN_INDCi2100,GEM-E3_V2021|EN_INDCi2030_600f,55.44084428,8.648362518,46.79248177
GEM-E3_V2021|EN_INDCi2100_COV,GEM-E3_V2021|EN_INDCi2030_600f_COV,51.97508469,8.876769834,43.09831485
GEM-E3_V2021|EN_INDCi2100_COV_NDCp,GEM-E3_V2021|EN_INDCi2030_600f_COV_NDCp,49.04761549,9.280094117,39.76752137
GEM-E3_V2021|EN_INDCi2100_NDCp,GEM-E3_V2021|EN_INDCi2030_600f_NDCp,50.86362812,9.249696828,41.61393129
GEM-E3_V2021|EN_INDCi2100,GEM-E3_V2021|EN_INDCi2030_800,55.44084428,6.593055495,48.84778879
GEM-E3_V2021|EN_INDCi2100,GEM-E3_V2021|EN_INDCi2030_800f,55.44084428,14.01278393,41.42806036
GEM-E3_V2021|EN_INDCi2100,GEM-E3_V2021|EN_INDCi2030_1000,55.44084428,16.89906022,38.54178406
GEM-E3_V2021|EN_INDCi2100_COV,GEM-E3_V2021|EN_INDCi2030_1000_COV,51.97508469,17.58732122,34.38776346
GEM-E3_V2021|EN_INDCi2100_COV_NDCp,GEM-E3_V2021|EN_INDCi2030_1000_COV_NDCp,49.04761549,18.74201597,30.30559952
GEM-E3_V2021|EN_INDCi2100_NDCp,GEM-E3_V2021|EN_INDCi2030_1000_NDCp,50.86362812,17.2812369,33.58239122
GEM-E3_V2021|EN_INDCi2100,GEM-E3_V2021|EN_INDCi2030_1000f,55.44084428,22.0803347,33.36050959
GEM-E3_V2021|EN_INDCi2100_COV,GEM-E3_V2021|EN_INDCi2030_1000f_COV,51.97508469,21.51886146,30.45622323
GEM-E3_V2021|EN_INDCi2100_COV_NDCp,GEM-E3_V2021|EN_INDCi2030_1000f_COV_NDCp,49.04761549,21.94016595,27.10744954
GEM-E3_V2021|EN_INDCi2100_NDCp,GEM-E3_V2021|EN_INDCi2030_1000f_NDCp,50.86362812,22.52239054,28.34123758
GEM-E3_V2021|EN_INDCi2100,GEM-E3_V2021|EN_INDCi2030_1400,55.44084428,29.40570157,26.03514271
GEM-E3_V2021|EN_INDCi2100,GEM-E3_V2021|EN_INDCi2030_1400f,55.44084428,29.40554394,26.03530034
GEM-E3_V2021|EN_INDCi2100,GEM-E3_V2021|EN_INDCi2030_1800,55.44084428,34.73757313,20.70327115
GEM-E3_V2021|EN_INDCi2100,GEM-E3_V2021|EN_INDCi2030_1800f,55.44084428,34.73757313,20.70327115
GEM-E3_V2021|EN_NPi2100,GEM-E3_V2021|EN_NPi2020_400f,64.29375155,8.922326189,55.37142536
GEM-E3_V2021|EN_NPi2100,GEM-E3_V2021|EN_NPi2020_500,64.29375155,5.26429519,59.02945636
GEM-E3_V2021|EN_NPi2100,GEM-E3_V2021|EN_NPi2020_500f,64.29375155,11.92086687,52.37288468
GEM-E3_V2021|EN_NPi2100,GEM-E3_V2021|EN_NPi2020_600,64.29375155,6.443436197,57.85031535
GEM-E3_V2021|EN_NPi2100_COV,GEM-E3_V2021|EN_NPi2020_600_COV,59.93869468,6.221307663,53.71738702
GEM-E3_V2021|EN_NPi2100,GEM-E3_V2021|EN_NPi2020_600f,64.29375155,14.85729092,49.43646063
GEM-E3_V2021|EN_NPi2100_COV,GEM-E3_V2021|EN_NPi2020_600f_COV,59.93869468,15.33941385,44.59928084
GEM-E3_V2021|EN_NPi2100,GEM-E3_V2021|EN_NPi2020_800,64.29375155,13.73803153,50.55572001
GEM-E3_V2021|EN_NPi2100,GEM-E3_V2021|EN_NPi2020_800f,64.29375155,20.86414786,43.42960369
GEM-E3_V2021|EN_NPi2100,GEM-E3_V2021|EN_NPi2020_1000,64.29375155,21.35015974,42.94359181
GEM-E3_V2021|EN_NPi2100_COV,GEM-E3_V2021|EN_NPi2020_1000_COV,59.93869468,21.73122489,38.2074698
GEM-E3_V2021|EN_NPi2100,GEM-E3_V2021|EN_NPi2020_1000f,64.29375155,24.47389937,39.81985218
GEM-E3_V2021|EN_NPi2100_COV,GEM-E3_V2021|EN_NPi2020_1000f_COV,59.93869468,23.3164739,36.62222079
GEM-E3_V2021|EN_NPi2100,GEM-E3_V2021|EN_NPi2020_1400,64.29375155,30.12482593,34.16892562
GEM-E3_V2021|EN_NPi2100,GEM-E3_V2021|EN_NPi2020_1400f,64.29375155,29.95304331,34.34070824
GEM-E3_V2021|EN_NPi2100,GEM-E3_V2021|EN_NPi2020_1800,64.29375155,34.67160261,29.62214893
GEM-E3_V2021|EN_NPi2100,GEM-E3_V2021|EN_NPi2020_1800f,64.29375155,34.67160261,29.62214893
IMAGE 3.0|CO_CurPol,IMAGE 3.0|CO_2Deg2020,68.85287712,20.65704062,48.19583651
IMAGE 3.0|CO_CurPol,IMAGE 3.0|CO_2Deg2030,68.85287712,20.21538353,48.6374936
IMAGE 3.0|CO_CurPol,IMAGE 3.0|CO_Bridge,68.85287712,16.59132347,52.26155365
IMAGE 3.0|CO_CurPol,IMAGE 3.0|CO_GPP,68.85287712,34.88133426,33.97154286
IMAGE 3.0|CO_BAU,IMAGE 3.0|CO_NDCplus,75.56267646,57.14036457,18.42231189
IMAGE 3.0|EN_INDCi2100,IMAGE 3.0|EN_INDCi2030_800f,56.06228339,16.81242637,39.24985701
IMAGE 3.0|EN_INDCi2100,IMAGE 3.0|EN_INDCi2030_1000,56.06228339,18.11194606,37.95033732
IMAGE 3.0|EN_INDCi2100,IMAGE 3.0|EN_INDCi2030_1000f,56.06228339,21.1516609,34.91062249
IMAGE 3.0|EN_INDCi2100,IMAGE 3.0|EN_INDCi2030_1200,56.06228339,20.34406404,35.71821935
IMAGE 3.0|EN_INDCi2100,IMAGE 3.0|EN_INDCi2030_1200f,56.06228339,24.99683214,31.06545125
IMAGE 3.0|EN_INDCi2100,IMAGE 3.0|EN_INDCi2030_1400,56.06228339,29.0533394,27.00894399
IMAGE 3.0|EN_INDCi2100,IMAGE 3.0|EN_INDCi2030_1400f,56.06228339,28.83108593,27.23119745
IMAGE 3.0|EN_NPi2100,IMAGE 3.0|EN_NPi2020_600f,67.33565537,17.05847541,50.27717996
IMAGE 3.0|EN_NPi2100,IMAGE 3.0|EN_NPi2020_800,67.33565537,13.59136451,53.74429086
IMAGE 3.0|EN_NPi2100,IMAGE 3.0|EN_NPi2020_800f,67.33565537,18.20555555,49.13009982
IMAGE 3.0|EN_NPi2100,IMAGE 3.0|EN_NPi2020_1000,67.33565537,18.03777719,49.29787818
IMAGE 3.0|EN_NPi2100,IMAGE 3.0|EN_NPi2020_1000f,67.33565537,25.52480229,41.81085308
IMAGE 3.0|EN_NPi2100,IMAGE 3.0|EN_NPi2020_1200,67.33565537,23.00114195,44.33451342
IMAGE 3.0|EN_NPi2100,IMAGE 3.0|EN_NPi2020_1200f,67.33565537,25.15985264,42.17580273
IMAGE 3.0|EN_NPi2100,IMAGE 3.0|EN_NPi2020_1400,67.33565537,27.67647072,39.65918465
IMAGE 3.0|EN_NPi2100,IMAGE 3.0|EN_NPi2020_1400f,67.33565537,28.72654856,38.60910681
IMAGE 3.0|EN_NPi2100,IMAGE 3.0|EN_NPi2020_3000,67.33565537,57.76090886,9.574746514
IMAGE 3.0|EN_NPi2100,IMAGE 3.0|EN_NPi2020_3000f,67.33565537,57.76090886,9.574746514
IMAGE 3.0.1|ADVANCE_Reference,IMAGE 3.0.1|ADVANCE_2020_1.5C-2100,62.48450051,7.781474603,54.70302591
IMAGE 3.0.1|ADVANCE_Reference,IMAGE 3.0.1|ADVANCE_2020_Med2C,62.48450051,26.92718331,35.5573172
IMAGE 3.0.1|ADVANCE_Reference,IMAGE 3.0.1|ADVANCE_2020_WB2C,62.48450051,16.73986905,45.74463146
IMAGE 3.0.1|ADVANCE_Reference,IMAGE 3.0.1|ADVANCE_2030_Med2C,62.48450051,32.09061512,30.39388539
IMAGE 3.0.1|ADVANCE_Reference,IMAGE 3.0.1|ADVANCE_2030_WB2C,62.48450051,17.18670467,45.29779585
IMAGE 3.0.1|CD-LINKS_INDCi,IMAGE 3.0.1|CD-LINKS_INDC2030i_1600,61.69221622,27.27453286,34.41768336
IMAGE 3.0.1|CD-LINKS_NoPolicy,IMAGE 3.0.1|CD-LINKS_NDC2030i_1000,76.03566346,21.29134581,54.74431765
IMAGE 3.0.1|CD-LINKS_NPi,IMAGE 3.0.1|CD-LINKS_NPi2020_1000,68.80931756,20.19934917,48.60996839
IMAGE 3.0.1|CD-LINKS_NPi,IMAGE 3.0.1|CD-LINKS_NPi2020_1600,68.80931756,26.89106643,41.91825113
IMAGE 3.0.1|CD-LINKS_NPi,IMAGE 3.0.1|CD-LINKS_NPi2020_400,68.80931756,9.613698164,59.1956194
IMAGE 3.0.1|EMF30_Slower-Action,IMAGE 3.0.1|EMF30_ClimPolicy,54.61714518,21.67511929,32.94202589
